,inc,restore_predicted,rise_fall,rise_fall_region,stock_id
0,0.15,5.17834213278,21,49.0200559452,600280.XSHG
1,0.15,10.3441326506,18,48.0764991551,002625.XSHE
2,0.15,12.5609300613,18,45.5734682928,300257.XSHE
3,0.14,19.4510340735,19,76.8039397163,603005.XSHG
4,0.11,4.0951845215,20,67.7793451067,600687.XSHG
5,0.11,13.6436746976,20,80.6581420556,002669.XSHE
6,0.09,36.7730730629,21,95.7474949092,000513.XSHE
7,0.09,15.5424939747,19,54.9129164801,603008.XSHG
8,0.09,3.42071455121,18,18.9173041043,002504.XSHE
9,0.08,14.6022795922,18,68.4635227745,002677.XSHE
10,0.07,10.6332444738,18,22.9305549047,002036.XSHE
11,0.06,5.00538958982,18,4.42119242855,600624.XSHG
12,0.06,7.43157213166,18,19.8568731879,300054.XSHE
13,0.06,43.2006972711,18,167.284317754,600779.XSHG
14,0.05,12.882913675,19,28.7779156914,000910.XSHE
15,0.05,10.0330154318,18,18.2555473859,000885.XSHE
16,0.04,25.1020542645,19,30.7506468249,600893.XSHG
17,0.04,11.7105637193,19,23.4643984386,300059.XSHE
18,0.04,14.000984542,19,36.9785659849,000923.XSHE
19,0.04,13.4997514968,19,15.8682038111,300101.XSHE
20,0.04,3.25641559362,18,4.56195826409,002154.XSHE
21,0.04,45.9380040273,18,35.7179287757,002179.XSHE
22,0.04,14.1331783973,18,15.8897932536,300183.XSHE
23,0.04,11.7739306576,18,11.5388182345,000151.XSHE
24,0.04,20.783562567,17,46.7099798402,600260.XSHG
25,0.03,104.234567513,20,186.702075334,600436.XSHG
26,0.03,5.72330185324,19,6.53408830799,300151.XSHE
27,0.03,15.0612916182,19,32.4322670091,600066.XSHG
28,0.03,6.46065267563,17,14.7453136595,002289.XSHE
29,0.02,13.5252229783,19,9.4207031441,601566.XSHG
30,0.02,2.38554141417,18,3.17621934903,600512.XSHG
31,0.02,12.4261905551,17,18.8827691705,002389.XSHE
32,0.02,19.2529345937,17,20.7632393627,002439.XSHE
33,0.01,4.89848055124,20,20.3358293082,002692.XSHE
34,0.01,7.6238871979,19,7.58820596555,002166.XSHE
35,0.01,15.8424744275,19,16.7738677705,300288.XSHE
36,0.01,6.02175317362,19,7.16143920956,300102.XSHE
37,0.01,10.1142225909,18,18.4693264844,300322.XSHE
38,0.01,19.3627431707,18,38.8634144217,002399.XSHE
39,0.01,12.3540923922,18,17.3072574344,000803.XSHE
40,0.01,6.04513500333,17,8.28505809233,002480.XSHE
41,0.01,5.17929441363,17,6.4474684239,600888.XSHG
42,0.01,32.785719865,17,84.8143647584,002460.XSHE
43,0.0,6.50281019873,20,16.5264648721,000717.XSHE
44,0.0,4.18269544162,19,6.19680627857,600282.XSHG
45,0.0,11.1566449253,19,30.2424326466,000887.XSHE
46,0.0,9.74635289311,18,28.5904061433,300351.XSHE
47,0.0,2.60047824368,18,3.43356403193,002305.XSHE
48,0.0,3.88174198873,18,3.78352055357,600758.XSHG
49,0.0,3.53145398617,18,27.4633301877,000793.XSHE
